dteday,cnt,lag1,diff1,diff2,seasonal1
2011-01-01,985,,,,
2011-01-02,801,985.0,-184.0,,
2011-01-03,1349,801.0,548.0,732.0,
2011-01-04,1562,1349.0,213.0,-335.0,
2011-01-05,1600,1562.0,38.0,-175.0,
2011-01-06,1606,1600.0,6.0,-32.0,
2011-01-07,1510,1606.0,-96.0,-102.0,
2011-01-08,959,1510.0,-551.0,-455.0,
2011-01-09,822,959.0,-137.0,414.0,
2011-01-10,1321,822.0,499.0,636.0,
2011-01-11,1263,1321.0,-58.0,-557.0,
2011-01-12,1162,1263.0,-101.0,-43.0,
2011-01-13,1406,1162.0,244.0,345.0,421.0
2011-01-14,1421,1406.0,15.0,-229.0,620.0
2011-01-15,1248,1421.0,-173.0,-188.0,-101.0
2011-01-16,1204,1248.0,-44.0,129.0,-358.0
2011-01-17,1000,1204.0,-204.0,-160.0,-600.0
2011-01-18,683,1000.0,-317.0,-113.0,-923.0
2011-01-19,1650,683.0,967.0,1284.0,140.0
2011-01-20,1927,1650.0,277.0,-690.0,968.0
2011-01-21,1543,1927.0,-384.0,-661.0,721.0
2011-01-22,981,1543.0,-562.0,-178.0,-340.0
2011-01-23,986,981.0,5.0,567.0,-277.0
2011-01-24,1416,986.0,430.0,425.0,254.0
2011-01-25,1985,1416.0,569.0,139.0,579.0
2011-01-26,506,1985.0,-1479.0,-2048.0,-915.0
2011-01-27,431,506.0,-75.0,1404.0,-817.0
2011-01-28,1167,431.0,736.0,811.0,-37.0
2011-01-29,1098,1167.0,-69.0,-805.0,98.0
2011-01-30,1096,1098.0,-2.0,67.0,413.0
2011-01-31,1501,1096.0,405.0,407.0,-149.0
2011-02-01,1360,1501.0,-141.0,-546.0,-567.0
2011-02-02,1526,1360.0,166.0,307.0,-17.0
2011-02-03,1550,1526.0,24.0,-142.0,569.0
2011-02-04,1708,1550.0,158.0,134.0,722.0
2011-02-05,1005,1708.0,-703.0,-861.0,-411.0
2011-02-06,1623,1005.0,618.0,1321.0,-362.0
2011-02-07,1712,1623.0,89.0,-529.0,1206.0
2011-02-08,1530,1712.0,-182.0,-271.0,1099.0
2011-02-09,1605,1530.0,75.0,257.0,438.0
2011-02-10,1538,1605.0,-67.0,-142.0,440.0
2011-02-11,1746,1538.0,208.0,275.0,650.0
2011-02-12,1472,1746.0,-274.0,-482.0,-29.0
2011-02-13,1589,1472.0,117.0,391.0,229.0
2011-02-14,1913,1589.0,324.0,207.0,387.0
2011-02-15,1815,1913.0,-98.0,-422.0,265.0
2011-02-16,2115,1815.0,300.0,398.0,407.0
2011-02-17,2475,2115.0,360.0,60.0,1470.0
2011-02-18,2927,2475.0,452.0,92.0,1304.0
2011-02-19,1635,2927.0,-1292.0,-1744.0,-77.0
2011-02-20,1812,1635.0,177.0,1469.0,282.0
2011-02-21,1107,1812.0,-705.0,-882.0,-498.0
2011-02-22,1450,1107.0,343.0,1048.0,-88.0
2011-02-23,1917,1450.0,467.0,124.0,171.0
2011-02-24,1807,1917.0,-110.0,-577.0,335.0
2011-02-25,1461,1807.0,-346.0,-236.0,-128.0
2011-02-26,1969,1461.0,508.0,854.0,56.0
2011-02-27,2402,1969.0,433.0,-75.0,587.0
2011-02-28,1446,2402.0,-956.0,-1389.0,-669.0
2011-03-01,1851,1446.0,405.0,1361.0,-624.0
2011-03-02,2134,1851.0,283.0,-122.0,-793.0
2011-03-03,1685,2134.0,-449.0,-732.0,50.0
2011-03-04,1944,1685.0,259.0,708.0,132.0
2011-03-05,2077,1944.0,133.0,-126.0,970.0
2011-03-06,605,2077.0,-1472.0,-1605.0,-845.0
2011-03-07,1872,605.0,1267.0,2739.0,-45.0
2011-03-08,2133,1872.0,261.0,-1006.0,326.0
2011-03-09,1891,2133.0,-242.0,-503.0,430.0
2011-03-10,623,1891.0,-1268.0,-1026.0,-1346.0
2011-03-11,1977,623.0,1354.0,2622.0,-425.0
2011-03-12,2132,1977.0,155.0,-1199.0,686.0
2011-03-13,2417,2132.0,285.0,130.0,566.0
2011-03-14,2046,2417.0,-371.0,-656.0,-88.0
2011-03-15,2056,2046.0,10.0,381.0,371.0
2011-03-16,2192,2056.0,136.0,126.0,248.0
2011-03-17,2744,2192.0,552.0,416.0,667.0
2011-03-18,3239,2744.0,495.0,-57.0,2634.0
2011-03-19,3117,3239.0,-122.0,-617.0,1245.0
2011-03-20,2471,3117.0,-646.0,-524.0,338.0
2011-03-21,2077,2471.0,-394.0,252.0,186.0
2011-03-22,2703,2077.0,626.0,1020.0,2080.0
2011-03-23,2121,2703.0,-582.0,-1208.0,144.0
2011-03-24,1865,2121.0,-256.0,326.0,-267.0
2011-03-25,2210,1865.0,345.0,601.0,-207.0
2011-03-26,2496,2210.0,286.0,-59.0,450.0
2011-03-27,1693,2496.0,-803.0,-1089.0,-363.0
2011-03-28,2028,1693.0,335.0,1138.0,-164.0
2011-03-29,2425,2028.0,397.0,62.0,-319.0
2011-03-30,1536,2425.0,-889.0,-1286.0,-1703.0
2011-03-31,1685,1536.0,149.0,1038.0,-1432.0
2011-04-01,2227,1685.0,542.0,393.0,-244.0
2011-04-02,2252,2227.0,25.0,-517.0,175.0
2011-04-03,3249,2252.0,997.0,972.0,546.0
2011-04-04,3115,3249.0,-134.0,-1131.0,994.0
2011-04-05,1795,3115.0,-1320.0,-1186.0,-70.0
2011-04-06,2808,1795.0,1013.0,2333.0,598.0
2011-04-07,3141,2808.0,333.0,-680.0,645.0
2011-04-08,1471,3141.0,-1670.0,-2003.0,-222.0
2011-04-09,2455,1471.0,984.0,2654.0,427.0
2011-04-10,2895,2455.0,440.0,-544.0,470.0
2011-04-11,3348,2895.0,453.0,13.0,1812.0
2011-04-12,2034,3348.0,-1314.0,-1767.0,349.0
2011-04-13,2162,2034.0,128.0,1442.0,-65.0
2011-04-14,3267,2162.0,1105.0,977.0,1015.0
2011-04-15,3126,3267.0,-141.0,-1246.0,-123.0
2011-04-16,795,3126.0,-2331.0,-2190.0,-2320.0
2011-04-17,3744,795.0,2949.0,5280.0,1949.0
2011-04-18,3429,3744.0,-315.0,-3264.0,621.0
2011-04-19,3204,3429.0,-225.0,90.0,63.0
2011-04-20,3944,3204.0,740.0,965.0,2473.0
2011-04-21,4189,3944.0,245.0,-495.0,1734.0
2011-04-22,1683,4189.0,-2506.0,-2751.0,-1212.0
2011-04-23,4036,1683.0,2353.0,4859.0,688.0
2011-04-24,4191,4036.0,155.0,-2198.0,2157.0
2011-04-25,4073,4191.0,-118.0,-273.0,1911.0
2011-04-26,4400,4073.0,327.0,445.0,1133.0
2011-04-27,3872,4400.0,-528.0,-855.0,746.0
2011-04-28,4058,3872.0,186.0,714.0,3263.0
2011-04-29,4595,4058.0,537.0,351.0,851.0
2011-04-30,5312,4595.0,717.0,180.0,1883.0
2011-05-01,3351,5312.0,-1961.0,-2678.0,147.0
2011-05-02,4401,3351.0,1050.0,3011.0,457.0
2011-05-03,4451,4401.0,50.0,-1000.0,262.0
2011-05-04,2633,4451.0,-1818.0,-1868.0,950.0
2011-05-05,4433,2633.0,1800.0,3618.0,397.0
2011-05-06,4608,4433.0,175.0,-1625.0,417.0
2011-05-07,4714,4608.0,106.0,-69.0,641.0
2011-05-08,4333,4714.0,-381.0,-487.0,-67.0
2011-05-09,4362,4333.0,29.0,410.0,490.0
2011-05-10,4803,4362.0,441.0,412.0,745.0
2011-05-11,4182,4803.0,-621.0,-1062.0,-413.0
2011-05-12,4864,4182.0,682.0,1303.0,-448.0
2011-05-13,4105,4864.0,-759.0,-1441.0,754.0
2011-05-14,3409,4105.0,-696.0,63.0,-992.0
2011-05-15,4553,3409.0,1144.0,1840.0,102.0
2011-05-16,3958,4553.0,-595.0,-1739.0,1325.0
2011-05-17,4123,3958.0,165.0,760.0,-310.0
2011-05-18,3855,4123.0,-268.0,-433.0,-753.0
2011-05-19,4575,3855.0,720.0,988.0,-139.0
2011-05-20,4917,4575.0,342.0,-378.0,584.0
2011-05-21,5805,4917.0,888.0,546.0,1443.0
2011-05-22,4660,5805.0,-1145.0,-2033.0,-143.0
2011-05-23,4274,4660.0,-386.0,759.0,92.0
2011-05-24,4492,4274.0,218.0,604.0,-372.0
2011-05-25,4978,4492.0,486.0,268.0,873.0
2011-05-26,4677,4978.0,-301.0,-787.0,1268.0
2011-05-27,4679,4677.0,2.0,303.0,126.0
2011-05-28,4758,4679.0,79.0,77.0,800.0
2011-05-29,4788,4758.0,30.0,-49.0,665.0
2011-05-30,4098,4788.0,-690.0,-720.0,243.0
2011-05-31,3982,4098.0,-116.0,574.0,-593.0
2011-06-01,3974,3982.0,-8.0,108.0,-943.0
2011-06-02,4968,3974.0,994.0,1002.0,-837.0
2011-06-03,5312,4968.0,344.0,-650.0,652.0
2011-06-04,5342,5312.0,30.0,-314.0,1068.0
2011-06-05,4906,5342.0,-436.0,-466.0,414.0
2011-06-06,4548,4906.0,-358.0,78.0,-430.0
2011-06-07,4833,4548.0,285.0,643.0,156.0
2011-06-08,4401,4833.0,-432.0,-717.0,-278.0
2011-06-09,3915,4401.0,-486.0,-54.0,-843.0
2011-06-10,4586,3915.0,671.0,1157.0,-202.0
2011-06-11,4966,4586.0,380.0,-291.0,868.0
2011-06-12,4460,4966.0,-506.0,-886.0,478.0
2011-06-13,5020,4460.0,560.0,1066.0,1046.0
2011-06-14,4891,5020.0,-129.0,-689.0,-77.0
2011-06-15,5180,4891.0,289.0,418.0,-132.0
2011-06-16,3767,5180.0,-1413.0,-1702.0,-1575.0
2011-06-17,4844,3767.0,1077.0,2490.0,-62.0
2011-06-18,5119,4844.0,275.0,-802.0,571.0
2011-06-19,4744,5119.0,-375.0,-650.0,-89.0
2011-06-20,4010,4744.0,-734.0,-359.0,-391.0
2011-06-21,4835,4010.0,825.0,1559.0,920.0
2011-06-22,4507,4835.0,-328.0,-1153.0,-79.0
2011-06-23,4790,4507.0,283.0,611.0,-176.0
2011-06-24,4991,4790.0,201.0,-82.0,531.0
2011-06-25,5202,4991.0,211.0,10.0,182.0
2011-06-26,5305,5202.0,103.0,-108.0,414.0
2011-06-27,4708,5305.0,-597.0,-700.0,-472.0
2011-06-28,4648,4708.0,-60.0,537.0,881.0
2011-06-29,5225,4648.0,577.0,637.0,381.0
2011-06-30,5515,5225.0,290.0,-287.0,396.0
2011-07-01,5362,5515.0,-153.0,-443.0,618.0
2011-07-02,5119,5362.0,-243.0,-90.0,1109.0
2011-07-03,4649,5119.0,-470.0,-227.0,-186.0
2011-07-04,6043,4649.0,1394.0,1864.0,1536.0
2011-07-05,4665,6043.0,-1378.0,-2772.0,-125.0
2011-07-06,4629,4665.0,-36.0,1342.0,-362.0
2011-07-07,4592,4629.0,-37.0,-1.0,-610.0
2011-07-08,4040,4592.0,-552.0,-515.0,-1265.0
2011-07-09,5336,4040.0,1296.0,1848.0,628.0
2011-07-10,4881,5336.0,-455.0,-1751.0,233.0
2011-07-11,4086,4881.0,-795.0,-340.0,-1139.0
2011-07-12,4258,4086.0,172.0,967.0,-1257.0
2011-07-13,4342,4258.0,84.0,-88.0,-1020.0
2011-07-14,5084,4342.0,742.0,658.0,-35.0
2011-07-15,5538,5084.0,454.0,-288.0,889.0
2011-07-16,5923,5538.0,385.0,-69.0,-120.0
2011-07-17,5302,5923.0,-621.0,-1006.0,637.0
2011-07-18,4458,5302.0,-844.0,-223.0,-171.0
2011-07-19,4541,4458.0,83.0,927.0,-51.0
2011-07-20,4332,4541.0,-209.0,-292.0,292.0
2011-07-21,3784,4332.0,-548.0,-339.0,-1552.0
2011-07-22,3387,3784.0,-397.0,151.0,-1494.0
2011-07-23,3285,3387.0,-102.0,295.0,-801.0
2011-07-24,3606,3285.0,321.0,423.0,-652.0
2011-07-25,3840,3606.0,234.0,-87.0,-502.0
2011-07-26,4590,3840.0,750.0,516.0,-494.0
2011-07-27,4656,4590.0,66.0,-684.0,-882.0
2011-07-28,4390,4656.0,-266.0,-332.0,-1533.0
2011-07-29,3846,4390.0,-544.0,-278.0,-1456.0
2011-07-30,4475,3846.0,629.0,1173.0,17.0
2011-07-31,4302,4475.0,-173.0,-802.0,-239.0
2011-08-01,4266,4302.0,-36.0,137.0,-66.0
2011-08-02,4845,4266.0,579.0,615.0,1061.0
2011-08-03,3574,4845.0,-1271.0,-1850.0,187.0
2011-08-04,4576,3574.0,1002.0,2273.0,1291.0
2011-08-05,4866,4576.0,290.0,-712.0,1260.0
2011-08-06,4294,4866.0,-572.0,-862.0,454.0
2011-08-07,3785,4294.0,-509.0,63.0,-805.0
2011-08-08,4326,3785.0,541.0,1050.0,-330.0
2011-08-09,4602,4326.0,276.0,-265.0,212.0
2011-08-10,4780,4602.0,178.0,-98.0,934.0
2011-08-11,4792,4780.0,12.0,-166.0,317.0
2011-08-12,4905,4792.0,113.0,101.0,603.0
2011-08-13,4150,4905.0,-755.0,-868.0,-116.0
2011-08-14,3820,4150.0,-330.0,425.0,-1025.0
2011-08-15,4338,3820.0,518.0,848.0,764.0
2011-08-16,4725,4338.0,387.0,-131.0,149.0
2011-08-17,4694,4725.0,-31.0,-418.0,-172.0
2011-08-18,3805,4694.0,-889.0,-858.0,-489.0
2011-08-19,4153,3805.0,348.0,1237.0,368.0
2011-08-20,5191,4153.0,1038.0,690.0,865.0
2011-08-21,3873,5191.0,-1318.0,-2356.0,-729.0
2011-08-22,4758,3873.0,885.0,2203.0,-22.0
2011-08-23,5895,4758.0,1137.0,252.0,1103.0
2011-08-24,5130,5895.0,-765.0,-1902.0,225.0
2011-08-25,3542,5130.0,-1588.0,-823.0,-608.0
2011-08-26,4661,3542.0,1119.0,2707.0,841.0
2011-08-27,1115,4661.0,-3546.0,-4665.0,-3223.0
2011-08-28,4334,1115.0,3219.0,6765.0,-391.0
2011-08-29,4634,4334.0,300.0,-2919.0,-60.0
2011-08-30,5204,4634.0,570.0,270.0,1399.0
2011-08-31,5058,5204.0,-146.0,-716.0,905.0
2011-09-01,5115,5058.0,57.0,203.0,-76.0
2011-09-02,4727,5115.0,-388.0,-445.0,854.0
2011-09-03,4484,4727.0,-243.0,145.0,-274.0
2011-09-04,4940,4484.0,456.0,699.0,-955.0
2011-09-05,3351,4940.0,-1589.0,-2045.0,-1779.0
2011-09-06,2710,3351.0,-641.0,948.0,-832.0
2011-09-07,1996,2710.0,-714.0,-73.0,-2665.0
2011-09-08,1842,1996.0,-154.0,560.0,727.0
2011-09-09,3544,1842.0,1702.0,1856.0,-790.0
2011-09-10,5345,3544.0,1801.0,99.0,711.0
2011-09-11,5046,5345.0,-299.0,-2100.0,-158.0
2011-09-12,4713,5046.0,-333.0,-34.0,-345.0
2011-09-13,4763,4713.0,50.0,383.0,-352.0
2011-09-14,4785,4763.0,22.0,-28.0,58.0
2011-09-15,3659,4785.0,-1126.0,-1148.0,-825.0
2011-09-16,4760,3659.0,1101.0,2227.0,-180.0
2011-09-17,4511,4760.0,-249.0,-1350.0,1160.0
2011-09-18,4274,4511.0,-237.0,12.0,1564.0
2011-09-19,4539,4274.0,265.0,502.0,2543.0
2011-09-20,3641,4539.0,-898.0,-1163.0,1799.0
2011-09-21,4352,3641.0,711.0,1609.0,808.0
2011-09-22,4795,4352.0,443.0,-268.0,-550.0
2011-09-23,2395,4795.0,-2400.0,-2843.0,-2651.0
2011-09-24,5423,2395.0,3028.0,5428.0,710.0
2011-09-25,5010,5423.0,-413.0,-3441.0,247.0
2011-09-26,4630,5010.0,-380.0,33.0,-155.0
2011-09-27,4120,4630.0,-510.0,-130.0,461.0
2011-09-28,3907,4120.0,-213.0,297.0,-853.0
2011-09-29,4839,3907.0,932.0,1145.0,328.0
2011-09-30,5202,4839.0,363.0,-569.0,928.0
2011-10-01,2429,5202.0,-2773.0,-3136.0,-2110.0
2011-10-02,2918,2429.0,489.0,3262.0,-723.0
2011-10-03,3570,2918.0,652.0,163.0,-782.0
2011-10-04,4456,3570.0,886.0,234.0,-339.0
2011-10-05,4826,4456.0,370.0,-516.0,2431.0
2011-10-06,4765,4826.0,-61.0,-431.0,-658.0
2011-10-07,4985,4765.0,220.0,281.0,-25.0
2011-10-08,5409,4985.0,424.0,204.0,779.0
2011-10-09,5511,5409.0,102.0,-322.0,1391.0
2011-10-10,5117,5511.0,-394.0,-496.0,1210.0
2011-10-11,4563,5117.0,-554.0,-160.0,-276.0
2011-10-12,2416,4563.0,-2147.0,-1593.0,-2786.0
2011-10-13,2913,2416.0,497.0,2644.0,484.0
2011-10-14,3644,2913.0,731.0,234.0,726.0
2011-10-15,5217,3644.0,1573.0,842.0,1647.0
2011-10-16,5041,5217.0,-176.0,-1749.0,585.0
2011-10-17,4570,5041.0,-471.0,-295.0,-256.0
2011-10-18,4748,4570.0,178.0,649.0,-17.0
2011-10-19,2424,4748.0,-2324.0,-2502.0,-2561.0
2011-10-20,4195,2424.0,1771.0,4095.0,-1214.0
2011-10-21,4304,4195.0,109.0,-1662.0,-1207.0
2011-10-22,4308,4304.0,4.0,-105.0,-809.0
2011-10-23,4381,4308.0,73.0,69.0,-182.0
2011-10-24,4187,4381.0,-194.0,-267.0,1771.0
2011-10-25,4687,4187.0,500.0,694.0,1774.0
2011-10-26,3894,4687.0,-793.0,-1293.0,250.0
2011-10-27,2659,3894.0,-1235.0,-442.0,-2558.0
2011-10-28,3747,2659.0,1088.0,2323.0,-1294.0
2011-10-29,627,3747.0,-3120.0,-4208.0,-3943.0
2011-10-30,3331,627.0,2704.0,5824.0,-1417.0
2011-10-31,3669,3331.0,338.0,-2366.0,1245.0
2011-11-01,4068,3669.0,399.0,61.0,-127.0
2011-11-02,4186,4068.0,118.0,-281.0,-118.0
2011-11-03,3974,4186.0,-212.0,-330.0,-334.0
2011-11-04,4046,3974.0,72.0,284.0,-335.0
2011-11-05,3926,4046.0,-120.0,-192.0,-261.0
2011-11-06,3649,3926.0,-277.0,-157.0,-1038.0
2011-11-07,4035,3649.0,386.0,663.0,141.0
2011-11-08,4205,4035.0,170.0,-216.0,1546.0
2011-11-09,4109,4205.0,-96.0,-266.0,362.0
2011-11-10,2933,4109.0,-1176.0,-1080.0,2306.0
2011-11-11,3368,2933.0,435.0,1611.0,37.0
2011-11-12,4067,3368.0,699.0,264.0,398.0
2011-11-13,3717,4067.0,-350.0,-1049.0,-351.0
2011-11-14,4486,3717.0,769.0,1119.0,300.0
2011-11-15,4195,4486.0,-291.0,-1060.0,221.0
2011-11-16,1817,4195.0,-2378.0,-2087.0,-2229.0
2011-11-17,3053,1817.0,1236.0,3614.0,-873.0
2011-11-18,3392,3053.0,339.0,-897.0,-257.0
2011-11-19,3663,3392.0,271.0,-68.0,-372.0
2011-11-20,3520,3663.0,-143.0,-414.0,-685.0
2011-11-21,2765,3520.0,-755.0,-612.0,-1344.0
2011-11-22,1607,2765.0,-1158.0,-403.0,-1326.0
2011-11-23,2566,1607.0,959.0,2117.0,-802.0
2011-11-24,1495,2566.0,-1071.0,-2030.0,-2572.0
2011-11-25,2792,1495.0,1297.0,2368.0,-925.0
2011-11-26,3068,2792.0,276.0,-1021.0,-1418.0
2011-11-27,3071,3068.0,3.0,-273.0,-1124.0
2011-11-28,3867,3071.0,796.0,793.0,2050.0
2011-11-29,2914,3867.0,-953.0,-1749.0,-139.0
2011-11-30,3613,2914.0,699.0,1652.0,221.0
2011-12-01,3727,3613.0,114.0,-585.0,64.0
2011-12-02,3940,3727.0,213.0,99.0,420.0
2011-12-03,3614,3940.0,-326.0,-539.0,849.0
2011-12-04,3485,3614.0,-129.0,197.0,1878.0
2011-12-05,3811,3485.0,326.0,455.0,1245.0
2011-12-06,2594,3811.0,-1217.0,-1543.0,1099.0
2011-12-07,705,2594.0,-1889.0,-672.0,-2087.0
2011-12-08,3322,705.0,2617.0,4506.0,254.0
2011-12-09,3620,3322.0,298.0,-2319.0,549.0
2011-12-10,3190,3620.0,-430.0,-728.0,-677.0
2011-12-11,2743,3190.0,-447.0,-17.0,-171.0
2011-12-12,3310,2743.0,567.0,1014.0,-303.0
2011-12-13,3523,3310.0,213.0,-354.0,-204.0
2011-12-14,3740,3523.0,217.0,4.0,-200.0
2011-12-15,3709,3740.0,-31.0,-248.0,95.0
2011-12-16,3577,3709.0,-132.0,-101.0,92.0
2011-12-17,2739,3577.0,-838.0,-706.0,-1072.0
2011-12-18,2431,2739.0,-308.0,530.0,-163.0
2011-12-19,3403,2431.0,972.0,1280.0,2698.0
2011-12-20,3750,3403.0,347.0,-625.0,428.0
2011-12-21,2660,3750.0,-1090.0,-1437.0,-960.0
2011-12-22,3068,2660.0,408.0,1498.0,-122.0
2011-12-23,2209,3068.0,-859.0,-1267.0,-534.0
2011-12-24,1011,2209.0,-1198.0,-339.0,-2299.0
2011-12-25,754,1011.0,-257.0,941.0,-2769.0
2011-12-26,1317,754.0,563.0,820.0,-2423.0
2011-12-27,1162,1317.0,-155.0,-718.0,-2547.0
2011-12-28,2302,1162.0,1140.0,1295.0,-1275.0
2011-12-29,2423,2302.0,121.0,-1019.0,-316.0
2011-12-30,2999,2423.0,576.0,455.0,568.0
2011-12-31,2485,2999.0,-514.0,-1090.0,-918.0
2012-01-01,2294,2485.0,-191.0,323.0,-1456.0
2012-01-02,1951,2294.0,-343.0,-152.0,-709.0
2012-01-03,2236,1951.0,285.0,628.0,-832.0
